"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"344","Person search",2019-06-22 10:13:00,FALSE,NA,"Male",NA,"Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"345","Person search",2019-06-22 10:13:00,FALSE,NA,NA,NA,"Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"346","Person search",2019-06-22 10:30:00,TRUE,NA,NA,"18-24","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"347","Person search",2019-06-22 14:26:00,FALSE,NA,NA,NA,"Other ethnic group - Any other ethnic group","Asian","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"348","Person search",2019-06-22 16:55:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest",FALSE,FALSE,"E08000003E02001053E01033678","Manchester 009F","E01033678"
"349","Person search",2019-06-22 16:56:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British",NA,"Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01033678","Manchester 009F","E01033678"
"350","Person search",2019-06-22 17:05:00,TRUE,NA,"Male","10-17","Black/African/Caribbean/Black British - African","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest",TRUE,FALSE,"E08000003E02001053E01005203","Manchester 009B","E01005203"
"351","Person search",2019-06-22 17:10:00,FALSE,NA,"Male","10-17","Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01005203","Manchester 009B","E01005203"
"352","Person search",2019-06-22 17:10:00,FALSE,NA,NA,NA,"Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01005203","Manchester 009B","E01005203"
"353","Person search",2019-06-22 17:27:00,TRUE,NA,"Male","18-24","Asian/Asian British - Any other Asian background","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"354","Person search",2019-06-22 18:40:00,TRUE,NA,"Male","25-34","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"355","Person search",2019-06-22 19:29:00,TRUE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Firearms Act 1968 (section 47)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"356","Person search",2019-06-22 19:29:00,TRUE,NA,NA,NA,"Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"357","Person search",2019-06-22 20:07:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"358","Person search",2019-06-22 20:10:00,TRUE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"359","Person search",2019-06-22 20:39:00,FALSE,NA,"Male","over 34","Asian/Asian British - Indian","Asian","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Khat or Cannabis warning",FALSE,FALSE,"E08000003E02001078E01005118","Manchester 034A","E01005118"
"360","Person search",2019-06-23 01:55:00,TRUE,NA,NA,NA,"Asian/Asian British - Bangladeshi","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006917E01033681","Manchester 060B","E01033681"
"361","Person search",2019-06-23 02:16:00,FALSE,NA,NA,NA,"Black/African/Caribbean/Black British - African","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006917E01033683","Manchester 060D","E01033683"
"362","Person search",2019-06-23 03:35:00,TRUE,NA,"Male","18-24","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning",TRUE,FALSE,"E08000003E02006917E01033677","Manchester 060A","E01033677"
"363","Person search",2019-06-23 08:35:00,FALSE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","Arrest",TRUE,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"364","Person search",2019-06-23 11:00:00,TRUE,NA,"Male","over 34","White - Irish","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
